SAL_NAME21,district_label,member,party,pct_area
Bacchus Marsh,Melton District,"McGHIE, Steve",Australian Labor Party - Victorian Branch,0.89
Ballarat Central,Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,99.42
Ballarat Central,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,0.58
Ballarat East,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,99.33
Ballarat East,Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,0.67
Ballarat North,Wendouree District,"ADDISON, Juliana",Australian Labor Party - Victorian Branch,98.27
Ballarat North,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,1.73
Balliang,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,54.9
Balliang,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,45.09
Bangholme,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,61.63
Bangholme,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,38.37
Barjarg,Eildon District,"McLEISH, Cindy",Liberal,94.33
Barjarg,Euroa District,"CLEELAND, Annabelle",The Nationals,5.67
Barnadown,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,99.44
Barnadown,Euroa District,"CLEELAND, Annabelle",The Nationals,0.56
Basalt (Vic.),Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,94.0
Basalt (Vic.),Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,6.0
Batesford,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,70.37
Batesford,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,29.63
Baxter,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,85.99
Baxter,Mornington District,"CREWTHER, Chris",Liberal,13.61
Baxter,Frankston District,"EDBROOKE, Paul",Australian Labor Party - Victorian Branch,0.4
Bayswater North,Croydon District,"HODGETT, David",Liberal,99.31
Bayswater North,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,0.41
Bayswater North,Bayswater District,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,0.28
Beaconsfield Upper,Berwick District,"BATTIN, Brad",Liberal,56.34
Beaconsfield Upper,Pakenham District,"VULIN, Emma",Australian Labor Party - Victorian Branch,43.66
Bellbridge,Benambra District,"TILLEY, Bill",Liberal,97.26
Belmont (Vic.),Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,75.89
Belmont (Vic.),South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,24.11
Bendigo,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,87.83
Bendigo,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,12.17
Berrybank,Polwarth District,"RIORDAN, Richard",Liberal,91.18
Berrybank,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,8.82
Berwick,Berwick District,"BATTIN, Brad",Liberal,93.37
Berwick,Narre Warren North District,"WILSON, Belinda",Australian Labor Party - Victorian Branch,6.56
Beveridge,Kalkallo District,"SPENCE, Ros",Australian Labor Party - Victorian Branch,63.54
Beveridge,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,36.31
Beveridge,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,0.15
Big Desert,Mildura District,"BENHAM, Jade",The Nationals,52.59
Big Desert,Lowan District,"KEALY, Emma",The Nationals,47.41
Big Hill (Greater Bendigo - Vic.),Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,67.27
Big Hill (Greater Bendigo - Vic.),Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,32.73
Big Hill (Surf Coast - Vic.),Polwarth District,"RIORDAN, Richard",Liberal,98.94
Bittern,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,98.95
Blackburn,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,58.09
Blackburn,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,41.83
Blackburn North,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,67.12
Blackburn North,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,32.88
